Apiguid,ApiTitulo,ApiDescripcion,ApiCategoria,ApiTags,ApifechaCreacion,Apienlace,TOTAL_RECORDS,NRO_FILA,REGION,PROVINCIA,CANTIDAD,PORCENTAJE,ORDINARIA_CANTIDAD,ORDINARIA_PORCENTAJE,FFAA_CANTIDAD,FFAA_PORCENTAJE,ALBERGUE_CANTIDAD,ALBERGUE_PORCENTAJE,REPARED_CANTIDAD,REPARED_PORCENTAJE,VRAEM_CANTIDAD,VRAEM_PORCENTAJE,HUALLAGA_CANTIDAD,HUALLAGA_PORCENTAJE,EIB_CANTIDAD,EIB_PORCENTAJE,CNA_CANTIDAD,CNA_PORCENTAJE,FECHA_HORA,,,,,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,222,,TOTAL DE BENEFICIARIOS,26270,100,1,0,01,0,0,0,0,0,0,0,0,0,0,0,0,11,0,87,21/09/2016 00:00,,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,223,,TOTAL GLOBAL,,,19509,74,26,1662,6,33,400,1,52,307,1,17,1791,6,82,924,3,52,418,1,59,1259,4,79,21/09/2016 00:00
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,151,LIMA,OYON,10,0,04,60,0,31,2,0,12,3,0,75,4,1,3,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,152,LIMA,YAUYOS,50,0,19,10,0,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,153,LORETO,TOTAL,1303,4,96,49,0,25,1,0,06,0,0,0,0,0,0,0,0,0,0,0,0,21/09/2016 00:00,,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,154,LORETO,MAYNAS,418,1,59,795,4,08,87,5,23,1,0,25,0,0,0,0,0,0,67,16,03,353,28,04,21/09/2016 00:00,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,155,LORETO,ALTO AMAZONAS,157,0,6,317,1,62,58,3,49,1,0,25,0,0,0,0,0,0,8,1,91,34,2,7,21/09/2016 00:00,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,156,LORETO,LORETO,186,0,71,76,0,39,4,0,24,0,0,0,0,0,0,0,0,35,8,37,42,3,34,21/09/2016 00:00,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,157,LORETO,MARISCAL RAMON CASTILLA,143,0,54,84,0,43,8,0,48,0,0,0,0,0,0,0,0,0,0,94,7,47,21/09/2016 00:00,,,,
Beca18BecariosPorProvincia,Beca18 - Becarios por Provincia,Lista de becarios - Beca 18, agrupados por provincia.,BECAS DE ESTUDIOS,becas|becarios|provincia|beca18,25/09/2024 16:13,https://api.datosabiertos.pronabec.gob.pe/dashboards/Beca18BecariosPorProvincia,221,158,LORETO,REQUENA,175,0,67,68,0,35,6,0,36,0,0,0,0,0,0,0,0,11,2,63,58,4,61,21/09/2016 00:00,,,
